award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
MA-01-05-0011-05,City of Longmont (Longmont Museum),Institute of Museum and Library Services,Office of Museum Services,2005,149693,,"Museums for America (Longmont, CO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-05-0011-05,matched via: mfa_exhibit_fab
MA-02-04-0041-04,Paine Art Center and Gardens,Institute of Museum and Library Services,Office of Museum Services,2004,73000,,"Museums for America (Oshkosh, WI)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-02-04-0041-04,matched via: mfa_exhibit_fab
MA-02-04-0098-04,Kohl Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2004,99995,,"Museums for America (Glenview, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-02-04-0098-04,matched via: mfa_exhibit_fab
MA-02-04-0165-04,Schwenkfelder Library & Heritage Center,Institute of Museum and Library Services,Office of Museum Services,2004,15235,,"Museums for America (Pennsburg, PA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-02-04-0165-04,matched via: mfa_exhibit_fab
MA-02-04-0427-04,National Museum of Wildlife Art,Institute of Museum and Library Services,Office of Museum Services,2004,150000,,"Museums for America (Jackson, WY)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-02-04-0427-04,matched via: mfa_exhibit_fab
MA-02-04-0810-04,Children's Museum of the Ohio Valley,Institute of Museum and Library Services,Office of Museum Services,2004,24975,,"Museums for America (Wheeling, WV)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-02-04-0810-04,matched via: mfa_exhibit_fab
MA-02-05-0087-05,Jewish Historical Society of Maryland,Institute of Museum and Library Services,Office of Museum Services,2005,141500,,"Museums for America (Baltimore, MD)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-02-05-0087-05,matched via: mfa_exhibit_fab
MA-03-04-0209-04,Discovery Center of Springfield,Institute of Museum and Library Services,Office of Museum Services,2004,147346,,"Museums for America (Springfield, MO)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-03-04-0209-04,matched via: mfa_exhibit_fab
MA-03-04-0276-04,Abington Art Center,Institute of Museum and Library Services,Office of Museum Services,2004,64410,,"Museums for America (Jenkintown, PA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-03-04-0276-04,matched via: mfa_exhibit_fab
MA-04-09-0065-09,Gloucester Maritime Heritage Center,Institute of Museum and Library Services,Office of Museum Services,2009,15450,,"Museums for America (Gloucester, MA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0065-09,matched via: mfa_exhibit_fab
MA-04-09-0068-09,Goleta Valley Historical Society,Institute of Museum and Library Services,Office of Museum Services,2009,119643,,"Museums for America (Goleta, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0068-09,matched via: mfa_exhibit_fab
MA-04-09-0088-09,Great Explorations Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2009,150000,,"Museums for America (St. Petersburg, FL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0088-09,matched via: mfa_exhibit_fab
MA-04-09-0176-09,Madison Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2009,150000,,"Museums for America (Madison, WI)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0176-09,matched via: mfa_exhibit_fab
MA-04-09-0290-09,National Civil War Life Museum,Institute of Museum and Library Services,Office of Museum Services,2009,150000,,"Museums for America (Fredericksburg, VA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0290-09,matched via: mfa_exhibit_fab
MA-04-09-0363-09,Science Museums of Wilson,Institute of Museum and Library Services,Office of Museum Services,2009,150000,,"Museums for America (Wilson, NC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-04-09-0363-09,matched via: mfa_exhibit_fab
